Name,Price (intraday),Change,% change,Volume,Avg vol (3-month),Market cap
Uttam Value Steels Limited,0.2000,0.0000,0.00%,204.818M,0,1.652B
MPS Infotecnics Limited,0.2000,0.0000,0.00%,135.153M,8.4M,1.057B
Jaiprakash Power Ventures Limited,6.30,-0.30,-4.55%,133.833M,71.024M,43.177B
Yes Bank Limited,13.00,-0.10,-0.76%,101.196M,112.914M,325.714B
Vodafone Idea Limited,8.85,-0.15,-1.67%,98.158M,184.333M,254.308B
Reliance Communications Limited,3.5000,+0.1500,+4.48%,77.475M,49.442M,9.858B
Indiabulls Real Estate Limited,135.55,-2.65,-1.92%,44.606M,14.461M,61.63B
The Lakshmi Vilas Bank Limited,7.65,0.00,0.00%,43.375M,2.587M,2.576B
Suzlon Energy Limited,8.00,-0.30,-3.61%,43.375M,59.004M,71.317B
Vodafone Idea Limited,8.85,-0.17,-1.88%,41.496M,96.123M,254.308B
Jaiprakash Power Ventures Limited,6.29,-0.33,-4.98%,41.316M,10.249M,43.026B
VISESH INFOTECNICS LTD.,0.2100,0.0000,0.00%,36.091M,N/A,N/A
NMDC Limited,171.80,+6.15,+3.71%,35.587M,20.422M,503.479B
Orient Green Power Company Limited,3.3000,+0.1500,+4.76%,35.171M,5.615M,2.519B
Punjab National Bank,40.90,0.00,0.00%,33.683M,153.131M,450.35B
Bharat Heavy Electricals Limited,66.40,-0.20,-0.30%,31.026M,91.823M,231.385B
NTPC Limited,119.90,+2.05,+1.74%,30.654M,18.491M,1.163T
RattanIndia Power Limited,7.95,-0.05,-0.63%,28.068M,18.84M,42.633B
GTL Infrastructure Limited,3.0400,+0.1300,+4.47%,26.644M,11.381M,37.717B
Shree Renuka Sugars Limited,38.40,-0.55,-1.41%,25.933M,16.787M,81.734B
Tata Motors Limited,310.95,+3.50,+1.14%,25.71M,47.767M,1.104T
TVS MOTOR CO,617.25,0.00,0.00%,24.4M,N/A,N/A
Bank of Baroda,84.70,+1.40,+1.68%,24.131M,58.126M,438.014B
Indian Overseas Bank,26.70,+0.60,+2.30%,23.511M,25.525M,504.694B
Steel Authority of India Limited,125.35,+0.50,+0.40%,22.297M,77.392M,517.965B
Central Bank of India,27.00,+0.90,+3.45%,21.52M,19.747M,234.385B
Reliance Communications Limited,3.5000,+0.1600,+4.79%,21.299M,8.487M,9.605B
The Bombay Dyeing and Manufacturing Company Limited,99.20,+3.10,+3.23%,20.159M,4.758M,20.5B
Edelweiss Financial Services Limited,99.50,+4.45,+4.68%,19.958M,3.558M,93.833B
ICICI Bank Limited,664.95,+18.70,+2.89%,19.823M,17.115M,4.605T
Indiabulls Housing Finance Limited,279.25,+8.40,+3.10%,19.667M,22.251M,129.208B
The Tata Power Company Limited,124.05,+0.25,+0.20%,19.307M,48.249M,396.587B
VIKAS LIFECARE LIMITED,3.4100,+0.1600,+4.92%,18.341M,N/A,N/A
Aditya Birla Fashion and Retail Limited,229.45,+16.30,+7.65%,18.224M,2.553M,215.206B
Inventure Growth & Securities Limited,3.6000,-0.0500,-1.37%,18.22M,7.022M,3.047B
The Federal Bank Limited,89.25,-0.25,-0.28%,17.589M,23.884M,178.168B
IDFC First Bank Limited,54.00,0.00,0.00%,17.502M,37.019M,335.169B
VECO-RE,0.2500,0.0000,0.00%,17.301M,N/A,N/A
Alok Industries Limited,28.25,-0.20,-0.70%,17.131M,22.341M,140.268B
National Aluminium Company Limited,85.30,+0.95,+1.13%,16.859M,40.862M,157.469B
Nagarjuna Fertilizers and Chemicals Limited,18.70,+0.10,+0.54%,16.848M,1.24M,11.276B
Reliance Power Limited,13.40,-0.65,-4.63%,16.726M,59.182M,37.589B
DLF Limited,314.20,+3.25,+1.05%,16.545M,9.04M,777.742B
Ujjivan Small Finance Bank Limited,30.85,-0.10,-0.32%,15.817M,4.969M,53.405B
Suzlon Energy Limited,7.97,-0.34,-4.09%,15.723M,11.936M,66.184B
Welspun Corp Limited,156.05,+8.20,+5.55%,14.935M,1.874M,40.721B
Trident Limited,17.85,-0.05,-0.28%,14.845M,17.782M,90.963B
,69.45,0.00,0.00%,14.669M,N/A,N/A
Sadbhav Infrastructure Project Limited,37.30,+2.60,+7.49%,14.268M,1.917M,13.326B
GAIL (India) Limited,148.80,+2.05,+1.40%,14.199M,15.734M,660.73B
Yes Bank Limited,13.03,-0.07,-0.53%,13.908M,29.26M,326.465B
